Data,Ativo,Nome,Período,Dividendo,Dividend Yeld,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,Dividend Yeld Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada
2016-11-01,FFCI11,FII RIOB RC,Outubro/2016,"R$ 0,0117","0,66%","4,33%","4,98%","56,68%","R$ 251.207.018,99","R$ 1,8100","0,65%","-0,19%","0,46%","6,57%"
2016-11-01,THRA11B,FII BM THERA,Outubro/2016,"R$ 0,0000","0,00%","1,50%","1,50%","30,45%","R$ 104.519.009,23","R$ 70,9700","0,00%","0,69%","0,69%","6,09%"
2016-11-01,BPFF11,FII ABSOLUTO,Outubro/2016,"R$ 0,6700","0,83%","3,81%","4,64%","46,75%",,,,,,
2016-11-01,TRNT11B,FII TORRE NO,Outubro/2016,"R$ 0,7475","0,48%","-0,62%","-0,14%","8,32%","R$ 659.038.156,58","R$ 167,4600","0,45%","0,03%","0,47%","5,02%"
2016-11-01,ONEF11,FII THE ONE,Outubro/2016,"R$ 5,4000","0,62%","-0,66%","-0,05%","20,16%","R$ 85.895.588,69","R$ 942,8700","0,57%","0,29%","0,87%","17,37%"
2016-11-01,KNRI11,FII KINEA,Outubro/2016,"R$ 0,9200","0,66%","4,07%","4,73%","43,79%","R$ 2.001.967.552,58","R$ 145,1000","0,63%","-0,09%","0,54%","-1,34%"
2016-11-01,FIGS11,FII GEN SHOP,Outubro/2016,"R$ 0,8333","1,28%","1,49%","2,77%","26,81%","R$ 231.789.831,89","R$ 89,4400","0,93%","-0,01%","0,92%","1,99%"
2016-11-01,FPAB11,FII A BRANCA,Outubro/2016,"R$ 1,8500","0,61%","3,65%","4,25%","11,00%","R$ 303.852.960,01","R$ 405,1373","0,46%","0,01%","0,46%","5,80%"
2016-11-01,SPTW11,FII SP DOWNT,Outubro/2016,"R$ 0,5350","0,89%","7,97%","8,85%","19,90%",,,,,,
2016-11-01,XPCM11,FII XP MACAE,Outubro/2016,"R$ 0,7500","0,91%","4,75%","5,66%","54,82%","R$ 200.775.745,31","R$ 83,1518","0,90%","0,10%","1,00%","11,13%"
2016-11-01,MBRF11,FII MERC BR,Outubro/2016,"R$ 7,3000","0,83%","5,70%","6,53%","33,96%","R$ 130.042.243,68","R$ 1.279,1400","0,57%","0,01%","0,59%","6,02%"
2016-11-01,CEOC11B,FII CEO CCP,Outubro/2016,"R$ 0,0000","0,00%","3,40%","3,40%","45,87%","R$ 118.549.833,22","R$ 65,2900","0,00%","0,67%","0,67%","6,64%"
2016-11-01,PABY11,FII PANAMBY,Outubro/2016,"R$ 0,0000","0,00%","-7,34%","-7,34%","-21,63%","R$ 182.876.585,33","R$ 241,1300","0,00%","-0,01%","-0,01%","3,14%"
2016-11-01,HGBS11,FII CSHGSHOP,Outubro/2016,"R$ 13,8000","0,69%","4,41%","5,10%","57,31%","R$ 1.155.700.776,16","R$ 2.150,1700","0,64%","0,02%","0,66%","7,26%"
2016-11-01,GRLV11,FII LOUVEIRA,Outubro/2016,"R$ 6,5000","0,71%","-8,19%","-7,48%","21,59%","R$ 118.478.761,17","R$ 1.103,6400","0,59%","0,43%","1,02%","8,69%"
2016-11-01,HGLG11,FII CSHG LOG,Outubro/2016,"R$ 8,7000","0,75%","0,49%","1,24%","30,03%","R$ 366.593.014,84","R$ 1.077,9000","0,81%","0,67%","1,47%","12,33%"
2016-11-01,RNGO11,FII RIONEGRO,Outubro/2016,"R$ 0,6500","0,84%","4,08%","4,92%","16,40%","R$ 239.513.254,64","R$ 89,5042","0,73%","-0,01%","0,72%","8,07%"
2016-11-01,HGCR11,FII CSHG CRI,Outubro/2016,"R$ 9,0000","0,92%","2,61%","3,53%","17,55%","R$ 106.042.421,01","R$ 1.012,7300","0,89%","-0,04%","0,85%","9,94%"
2016-11-01,DRIT11B,FII MTGESTAO,Outubro/2016,"R$ 0,5200","0,50%","2,86%","3,36%","9,29%","R$ 59.705.863,58","R$ 128,8800","0,40%","0,07%","0,48%","5,29%"
2016-11-01,BNFS11,FII BANRISUL,Outubro/2016,"R$ 0,7155","0,67%","0,98%","1,65%","26,96%",,,,,,
2016-11-01,FOFT11,FII CSHGFOFT,Outubro/2016,"R$ 5,5000","0,70%","0,00%","0,70%",,"R$ 108.068.494,72","R$ 903,5500",,,,
2016-11-01,FIXX11,FII FATORFIX,Outubro/2016,"R$ 0,7728","0,96%","3,99%","4,96%","34,42%","R$ 31.140.862,55","R$ 85,0900","0,91%","2,03%","2,94%","38,50%"
2016-11-01,BBRC11,FII BB CORP,Outubro/2016,"R$ 0,7900","0,74%","1,33%","2,07%","37,45%","R$ 144.627.134,58","R$ 90,9605","0,87%","-0,01%","0,86%","9,16%"
2016-11-01,FEXC11B,FII EXCELLEN,Outubro/2016,"R$ 0,8200","0,75%","-1,91%","-1,16%","37,89%","R$ 149.970.018,60","R$ 102,6292","0,80%","0,29%","1,09%","12,17%"
2016-11-01,CBOP11,FII C BRANCO,Outubro/2016,"R$ 4,9000","0,77%","0,60%","1,37%","12,85%","R$ 1.036,07","R$ 752,1500","0,65%","0,00%","0,65%","6,97%"
2016-11-01,HCRI11B,FII CRIANCA,Outubro/2016,"R$ 2,3392","0,97%","0,20%","1,17%","22,57%","R$ 51.314.033,25","R$ 256,5702","0,91%","0,00%","0,91%","8,73%"
2016-11-01,PRSV11,FII P VARGAS,Outubro/2016,"R$ 1,8800","0,37%","-0,99%","-0,62%","1,13%","R$ 154.239.533,50","R$ 790,9700","0,24%","-0,19%","0,04%","3,92%"
2016-11-01,FAED11B,FII ANH EDUC,Outubro/2016,"R$ 1,5372","0,80%","4,14%","4,94%","46,95%","R$ 103.850.088,72","R$ 161,7179","0,95%","0,00%","0,95%","9,91%"
2016-11-01,VLOL11,FII OLIMPIA,Outubro/2016,"R$ 0,4805","0,65%","2,33%","2,98%","38,58%",,,,,,
2016-11-01,BMLC11B,FII BMBRC LC,Outubro/2016,"R$ 0,6201","0,72%","1,54%","2,26%","28,42%","R$ 109.866.908,43","R$ 110,0424","0,56%","-0,17%","0,39%","6,74%"
2016-11-01,HTMX11B,FII HOTEL MX,Outubro/2016,"R$ 0,3809","0,32%","-0,83%","-0,51%","43,56%","R$ 158.434.137,01","R$ 141,5900","0,27%","-1,80%","-1,53%","-1,33%"
2016-11-01,FLMA11,FII S F LIMA,Outubro/2016,"R$ 0,0115","0,52%","1,93%","2,45%","34,25%","R$ 212.944.824,18","R$ 3,0800","0,37%","-0,14%","0,23%","4,41%"
2016-11-01,CXCE11B,FII CX CEDAE,Outubro/2016,"R$ 18,2764","0,80%","7,38%","8,17%","44,07%","R$ 159.311.261,64","R$ 2.325,1009","0,79%","0,04%","0,83%","7,83%"
2016-11-01,CXTL11,FII CX TRX,Outubro/2016,"R$ 4,6985","0,89%","2,76%","3,65%","23,72%",,,,,,
2016-11-01,EDFO11B,FII OURINVES,Outubro/2016,"R$ 1,7550","0,66%","5,87%","6,53%","40,60%",,,,,,
2016-11-01,EURO11,FII EUROPAR,Outubro/2016,"R$ 1,1000","0,57%","0,62%","1,19%","26,45%","R$ 124.848.688,29","R$ 351,6864","0,31%","0,04%","0,35%","4,07%"
2016-11-01,SHPH11,FII HIGIENOP,Outubro/2016,"R$ 3,3000","0,42%","3,60%","4,02%","39,21%","R$ 353.145.954,04","R$ 610,6100","0,54%","-0,08%","0,46%","6,44%"
2016-11-01,RBBV11,FII JHSF FBV,Outubro/2016,"R$ 0,1591","0,26%","-2,88%","-2,62%","10,68%","R$ 125.513.142,95","R$ 100,0800","0,16%","-0,36%","-0,20%","6,41%"
2016-11-01,JSRE11,FII JS REAL,Outubro/2016,"R$ 0,9000","0,89%","0,55%","1,44%","31,10%","R$ 701.225.176,79","R$ 108,6700","0,83%","0,40%","1,23%","15,93%"
2016-11-01,KNRE11,FII KII REAL,Outubro/2016,"R$ 0,0000","0,00%","23,68%","23,68%","20,37%","R$ 229.407.292,61","R$ 1,2400","0,00%","-0,49%","-0,49%","4,52%"
2016-11-01,KNCR11,FII KINEA RI,Outubro/2016,"R$ 1,0600","0,93%","1,05%","1,98%","18,56%","R$ 2.212.212.934,98","R$ 103,6600","1,02%","-0,17%","0,85%","15,48%"
2016-11-01,MXRF11,FII MAXI REN,Outubro/2016,"R$ 0,8000","0,91%","-2,04%","-1,14%","20,73%","R$ 246.116.441,84","R$ 107,0200","0,75%","0,00%","0,75%","22,04%"
2016-11-01,MFII11,FII MERITO I,Outubro/2016,"R$ 1,1700","1,13%","0,98%","2,11%","14,65%","R$ 38.495.382,36","R$ 102,5100","1,14%","-0,47%","0,67%","11,90%"
2016-11-01,RBGS11,FII RB GSB I,Outubro/2016,"R$ 0,6695","1,90%","-3,60%","-1,69%","29,55%","R$ 107.333.271,49","R$ 99,5700","0,67%","-0,05%","0,62%","9,28%"
2016-11-01,FMOF11,FII MEMORIAL,Outubro/2016,"R$ 0,2300","0,25%","-6,63%","-6,38%","-1,41%","R$ 92.390.852,85","R$ 181,8689","0,13%","0,06%","0,19%","3,60%"
2016-11-01,RBVO11,FII RIOBCRI2,Outubro/2016,"R$ 0,7500","0,89%","-1,49%","-0,59%","24,35%",,,,,,
2016-11-01,SAAG11,FII SANT AGE,Outubro/2016,"R$ 0,8200","0,70%","4,34%","5,04%","54,39%","R$ 530.257.363,29","R$ 94,1600","0,87%","0,01%","0,88%","9,04%"
2016-11-01,SDIL11,FII SDI LOG,Outubro/2016,"R$ 0,6600","0,93%","-0,40%","0,53%","23,69%","R$ 136.214.521,50","R$ 94,6688","0,70%","0,01%","0,71%","6,55%"
2016-11-01,WMRB11B,FII WM RBCAP,Outubro/2016,"R$ 1,4584","0,36%","4,16%","4,53%","41,12%","R$ 31.324.664,90","R$ 474,0057","0,31%","0,19%","0,49%","9,62%"
2016-11-01,FIIP11B,FII RB CAP I,Outubro/2016,"R$ 1,2865","0,83%","3,14%","3,97%","29,56%","R$ 157.949.886,76","R$ 170,3600","0,76%","0,18%","0,93%","2,30%"
2016-11-01,PLRI11,FII POLO I,Outubro/2016,"R$ 1,1100","0,96%","5,75%","6,71%","35,73%",,,,,,
2016-11-01,XPGA11,FII XP GAIA,Outubro/2016,"R$ 0,9500","1,14%","-0,61%","0,53%","15,69%","R$ 116.207.257,93","R$ 110,5700","0,86%","-0,13%","0,73%","11,10%"
2016-11-01,CTXT11,FII C TEXTIL,Outubro/2016,"R$ 0,0325","0,88%","-0,46%","0,41%","36,32%","R$ 121.499.828,87","R$ 3,3500","0,97%","0,16%","1,13%","10,44%"
2016-11-01,RBDS11,FII RBRESID2,Outubro/2016,"R$ 7,9037","1,46%","-7,80%","-6,34%","14,78%","R$ 69.399.726,38","R$ 548,5100","1,44%","-1,72%","-0,28%","6,40%"
2016-11-01,NSLU11B,FII LOURDES,Outubro/2015,"R$ 1,6800",,,,,"R$ 192.059.438,96","R$ 167,7668",,,,
2016-11-01,FAMB11B,FII ALMIRANT,Outubro/2016,"R$ 35,0943","0,73%","3,12%","3,85%","45,47%","R$ 386.855.986,70","R$ 3.691,3700","0,95%","0,04%","0,99%","9,78%"
2016-11-01,RBRD11,FII RB II,Outubro/2016,"R$ 2,9167","4,47%","2,93%","7,40%","38,94%",,,,,,
2016-11-01,VRTA11,FII FATOR VE,Outubro/2016,"R$ 1,3334","1,08%","4,48%","5,56%","35,43%","R$ 174.739.347,79","R$ 103,1200","1,29%","-0,88%","0,41%","11,46%"
2016-11-01,CXRI11,FII CX RBRAV,Outubro/2016,"R$ 8,0000","0,81%","1,53%","2,34%","46,76%",,,,,,
