Data,Ativo,Nome,Período,Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-04-01,GWIR11,FII GWI RI,"Março/2017
			        
			        	1,1400
0,45%
1,40%
3,20%
5,94%
0,47%
0,53%
0,50%
0,00%
0,45%
1,41%
R$ 79.883.111,79
R$ 209,11
1,22
0,55%
0,06%
0,60%
1,72%


0","1,1400","0,45%","1,40%","3,20%","5,94%","0,47%","0,53%","0,50%","0,00%","0,45%","1,41%","R$ 79.883.111,79","R$ 209,11","1,22","0,55%","0,06%","0,60%","1,72%",,,0
2017-04-01,FIVN11,FII VIDANOVA,"Janeiro/2017
			        
			        	0,0000
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
R$ 159.863.053,62
R$ 16,98
0,41
0,00%
0,00%
0,00%
0,00%


0","0,0000","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 159.863.053,62","R$ 16,98","0,41","0,00%","0,00%","0,00%","0,00%",,,0
2017-04-01,BNFS11,FII BANRISUL,"Março/2017
			        
			        	0,7862
0,64%
1,99%
4,00%
7,50%
0,66%
0,67%
0,62%
2,77%
3,42%
5,47%
R$ 62.514.755,49
R$ 89,31
1,38
0,88%
0,00%
0,88%
2,73%


0","0,7862","0,64%","1,99%","4,00%","7,50%","0,66%","0,67%","0,62%","2,77%","3,42%","5,47%","R$ 62.514.755,49","R$ 89,31","1,38","0,88%","0,00%","0,88%","2,73%",,,0
2017-04-01,THRA11B,FII BM THERA,"Março/2017
			        
			        	0,0000
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
9,17%
9,17%
14,23%
R$ 136.381.267,82
R$ 92,60
1,01
0,00%
1,05%
1,05%
1,42%
20,00%

1","0,0000","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","9,17%","9,17%","14,23%","R$ 136.381.267,82","R$ 92,60","1,01","0,00%","1,05%","1,05%","1,42%","20,00%",,1
2017-04-01,TRNT11B,FII TORRE NO,"Março/2017
			        
			        	0,7495
0,45%
1,40%
2,87%
6,01%
0,47%
0,48%
0,50%
3,08%
3,54%
3,89%
R$ 662.737.226,80
R$ 168,40
1,00
0,45%
0,01%
0,45%
1,38%
59,99%

1","0,7495","0,45%","1,40%","2,87%","6,01%","0,47%","0,48%","0,50%","3,08%","3,54%","3,89%","R$ 662.737.226,80","R$ 168,40","1,00","0,45%","0,01%","0,45%","1,38%","59,99%",,1
2017-04-01,MFII11,FII MERITO I,"Março/2017
			        
			        	1,1700
1,11%
3,35%
6,71%
13,51%
1,12%
1,12%
1,13%
0,18%
1,30%
3,95%
R$ 66.801.099,97
R$ 102,36
1,03
1,14%
1,11%
2,27%
4,55%


0","1,1700","1,11%","3,35%","6,71%","13,51%","1,12%","1,12%","1,13%","0,18%","1,30%","3,95%","R$ 66.801.099,97","R$ 102,36","1,03","1,14%","1,11%","2,27%","4,55%",,,0
2017-04-01,SPAF11,FII SPA,"Janeiro/2017
			        
			        	4,0000
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%









0","4,0000","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,0
2017-04-01,ONEF11,FII THE ONE,"Março/2017
			        
			        	6,0000
0,57%
1,75%
3,70%
6,50%
0,58%
0,62%
0,54%
5,75%
6,35%
15,30%
R$ 95.824.599,77
R$ 1.051,86
1,00
0,57%
0,02%
0,59%
1,69%
0,00%

1","6,0000","0,57%","1,75%","3,70%","6,50%","0,58%","0,62%","0,54%","5,75%","6,35%","15,30%","R$ 95.824.599,77","R$ 1.051,86","1,00","0,57%","0,02%","0,59%","1,69%","0,00%",,1
2017-04-01,KNRI11,FII KINEA,"Março/2017
			        
			        	0,9200
0,60%
1,85%
3,80%
8,12%
0,62%
0,63%
0,68%
3,55%
4,17%
4,35%
R$ 1.992.062.115,49
R$ 144,38
1,06
0,64%
-0,16%
0,47%
1,67%
3,31%
11,98%
16","0,9200","0,60%","1,85%","3,80%","8,12%","0,62%","0,63%","0,68%","3,55%","4,17%","4,35%","R$ 1.992.062.115,49","R$ 144,38","1,06","0,64%","-0,16%","0,47%","1,67%","3,31%","11,98%",16
2017-04-01,FIGS11,FII GEN SHOP,"Março/2017
			        
			        	0,8333
1,19%
3,59%
7,46%
15,15%
1,20%
1,24%
1,26%
0,67%
1,87%
4,23%
R$ 228.907.580,06
R$ 88,33
0,79
0,94%
0,41%
1,36%
1,98%


2","0,8333","1,19%","3,59%","7,46%","15,15%","1,20%","1,24%","1,26%","0,67%","1,87%","4,23%","R$ 228.907.580,06","R$ 88,33","0,79","0,94%","0,41%","1,36%","1,98%",,,2
