Data,Ativo,Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-05-01,FLRP11,"R$ 5,2161","0,4912%","1,8768%","4,8343%","8,9203%","0,6256%","0,8057%","0,7434%","4,6193%","5,1331%","29,4709%","R$ 59.847.355,6000","R$ 1.246,8199","0,8518","0,4184%","0,0327%","0,4512%","2,6346%","1,7500%",N/A,1
2017-05-01,RBDS11,"R$ 1,1328","0,2853%","0,5174%","0,9132%","17,3284%","0,1725%","0,1522%","1,4440%","-0,4732%","-0,1892%","-4,0863%","R$ 81.838.306,0600","R$ 646,8255","0,6139","0,1751%","-6,9894%","-6,8265%","25,9026%",N/A,N/A,0
2017-05-01,EDGA11,"R$ 0,1089","0,2000%","0,7095%","2,4389%","6,5321%","0,2365%","0,4065%","0,5443%","-5,6818%","-5,4932%","1,2215%","R$ 319.208.070,3700","R$ 83,7365","0,6501","0,1300%","-0,0046%","0,1255%","0,8720%","34,7700%",N/A,1
2017-05-01,SHPH11,"R$ 3,5000","0,3872%","1,1793%","2,7090%","5,6657%","0,3931%","0,4515%","0,4721%","-1,6192%","-1,2383%","12,7803%","R$ 354.323.285,1300","R$ 612,6419","1,4755","0,5713%","-0,0363%","0,5348%","2,7160%","2,3000%",N/A,1
2017-05-01,PQDP11,"R$ 12,6516","0,5116%","1,6662%","3,6169%","7,5136%","0,5554%","0,6028%","0,6261%","11,0587%","11,6269%","22,3675%","R$ 604.961.582,3700","R$ 2.536,7712","0,9748","0,4987%","0,0400%","0,5390%","1,4672%","1,5000%",N/A,1
2017-05-01,BBVJ11,"R$ 0,1800","0,3128%","1,0226%","2,3746%","5,8208%","0,3409%","0,3958%","0,4851%","1,0385%","1,3545%","6,9568%","R$ 206.726.034,0800","R$ 76,2827","0,7544","0,2622%","0,0033%","0,2655%","0,8078%","43,8000%",N/A,0
2017-05-01,RBGS11,"R$ 0,1531","0,3472%","2,0517%","3,7050%","19,1853%","0,6839%","0,6175%","1,5988%","0,8040%","1,1540%","28,5739%","R$ 99.424.812,9200","R$ 92,2300","0,4781","0,2361%","0,2163%","0,4529%","1,2028%","17,6000%",N/A,1
2017-05-01,HGBS11,"R$ 12,4000","0,5813%","1,7552%","3,8137%","8,3414%","0,5851%","0,6356%","0,6951%","-4,9666%","-4,4142%","6,7658%","R$ 1.166.741.829,8900","R$ 2.170,7148","0,9827","0,5712%","-0,0302%","0,5409%","4,2142%","5,4100%",N/A,8
2017-05-01,RNGO11,"R$ 0,5100","0,5735%","1,8734%","4,2672%","9,6250%","0,6245%","0,7112%","0,8021%","-4,8358%","-4,2900%","7,9439%","R$ 251.033.862,6800","R$ 93,8094","0,9479","0,5437%","-0,0208%","0,5227%","2,3908%","15,6000%",N/A,2
2017-05-01,ATSA11B,"R$ 2,0000","0,1949%","0,1949%","0,1949%","0,4910%","0,0650%","0,0325%","0,0409%","0,5309%","0,7268%","0,5409%","R$ 230.495.512,9500","R$ 1.343,8404","0,7637","0,1488%","0,0071%","0,1560%","0,7335%","24,2400%",N/A,1
2017-05-01,XPGA11,"R$ 4,1700","4,2159%","6,1386%","9,3376%","15,8444%","2,0462%","1,5563%","1,3204%","-0,6005%","3,5900%","6,4593%","R$ 108.344.558,9700","R$ 103,0800","0,9596","0,9701%","-6,5017%","-5,5946%","-4,1587%",N/A,N/A,0
2017-05-01,HCRI11B,"R$ 2,3007","0,7548%","2,3544%","5,1617%","10,4311%","0,7848%","0,8603%","0,8693%","1,6780%","2,4455%","8,8899%","R$ 59.620.363,7600","R$ 298,1018","1,0224","0,7718%","0,0104%","0,7823%","2,3790%","0,0000%",N/A,1
2017-05-01,FIIB11,"R$ 2,2800","0,6364%","1,9285%","4,5224%","9,9302%","0,6428%","0,7537%","0,8275%","1,2662%","1,9106%","5,1227%","R$ 239.041.682,3800","R$ 348,9660","1,0266","0,6534%","0,0655%","0,7193%","2,0838%","7,6200%",N/A,1
2017-05-01,FAMB11B,"R$ 37,9411","0,7694%","2,1136%","4,2194%","8,7950%","0,7045%","0,7032%","0,7329%","1,4040%","2,1841%","-2,7707%","R$ 576.014.335,0100","R$ 5.496,3200","0,8972","0,6903%","0,0169%","0,7073%","2,6709%","0,0000%",N/A,1
2017-05-01,ABCP11,"R$ 0,0750","0,4747%","1,5620%","3,8019%","7,6823%","0,5207%","0,6336%","0,6402%","6,3365%","6,8413%","31,3175%","R$ 680.988.528,8000","R$ 11,1602","1,4157","0,6720%","0,0558%","0,7282%","2,6305%","1,4000%",N/A,1
2017-05-01,XPCM11,"R$ 0,7800","0,9219%","2,7688%","5,4731%","12,1574%","0,9229%","0,9122%","1,0131%","0,2305%","1,1545%","-3,2503%","R$ 188.662.945,9400","R$ 78,1352","1,0829","0,9983%","0,1275%","1,1271%","4,4188%","0,0000%","0,0000%",1
