Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-08-01,AEFI11,"144,90",1531.0,"R$ 1,2000","0,8152%","2,7389%","5,0861%","10,4731%","0,9130%","0,8477%","0,8728%","3,2721%","4,1139%","10,6065%","R$ 99.345.523,5900","R$ 132,0206","1,0976","0,9089%","0,0105%","0,9196%","6,9096%","0,0000%",N/A,2
2017-08-01,BCRI11,"109,00",0.0,"R$ 0,8000","0,7253%","2,3294%","5,2576%","11,8371%","0,7765%","0,8763%","0,9864%","-1,8967%","-1,1852%","3,8718%","R$ 117.712.886,7900","R$ 97,2833","1,1204","0,8223%","0,8529%","1,6823%","8,5152%",N/A,N/A,0
2017-08-01,BNFS11,"113,00",118.0,"R$ 0,7628","0,6764%","1,9025%","3,8868%","7,8108%","0,6342%","0,6478%","0,6509%","-3,1526%","-2,4976%","-1,0867%","R$ 62.501.076,4000","R$ 89,2873","1,2656","0,8543%","0,1029%","0,9582%","6,2256%",N/A,N/A,0
2017-08-01,BBFI11B,"2.626,00",156.0,"R$ 23,3695","0,9305%","2,5908%","5,3156%","10,4800%","0,8636%","0,8859%","0,8733%","-5,1248%","-4,2420%","6,1642%","R$ 430.162.312,0800","R$ 3.308,9409","0,7936","0,7063%","-9,4358%","-8,7962%","-0,1798%",N/A,N/A,0
2017-08-01,BBPO11,"138,39",21312.0,"R$ 0,9550","0,7153%","2,1253%","4,2552%","9,1873%","0,7084%","0,7092%","0,7656%","-1,4641%","-0,7593%","9,0554%","R$ 1.538.741.980,4600","R$ 96,6565","1,4318","0,9881%","-0,0243%","0,9636%","11,2101%",N/A,N/A,0
2017-08-01,BBRC11,"132,00",823.0,"R$ 0,7700","0,5833%","1,9265%","3,8961%","8,3637%","0,6422%","0,6494%","0,6970%","3,9671%","4,5736%","15,0054%","R$ 153.576.650,2900","R$ 96,5891","1,3666","0,7972%","0,1239%","0,9221%","6,5281%",N/A,N/A,0
2017-08-01,RNDP11,"1.004,99",31.0,"R$ 8,0080","0,7966%","2,4950%","5,0504%","11,5529%","0,8317%","0,8417%","0,9627%","-3,1326%","-2,3610%","2,9395%","R$ 111.766.764,4600","R$ 1.039,8746","0,9665","0,7701%","0,0780%","0,8487%","6,1670%",N/A,N/A,0
2017-08-01,BCIA11,"118,00",0.0,"R$ 0,7000","0,6461%","2,0705%","4,0289%","8,8420%","0,6902%","0,6715%","0,7368%","-3,8104%","-3,1890%","-5,3300%","R$ 95.129.491,1500","R$ 115,9953","1,0173","0,6035%","-0,3356%","0,2659%","7,2347%",N/A,N/A,0
2017-08-01,CARE11,"1,80",170703.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 56.881.076,6300","R$ 1,3024","1,3821",,,,,N/A,N/A,0
2017-08-01,CXRI11,"1.006,00",34.0,"R$ 7,1500","0,6644%","2,2195%","4,3995%","9,2755%","0,7398%","0,7333%","0,7730%","3,3001%","3,9864%","12,3043%","R$ 172.912.894,5200","R$ 1.097,3301","0,9168","0,6516%","-1,1065%","-0,4621%","5,2892%",N/A,N/A,0
