Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-02-01,AEFI11,"162,00",1379.0,"R$ 1,2000","0,7273%","2,2133%","4,5783%","9,6644%","0,7378%","0,7631%","0,8054%","0,7273%","0,0000%","0,7273%","0,7273%","R$ 109.543.156,2100","R$ 145,5723","1,1128","0,8243%","9,5546%","10,4577%","23,2255%","0,0000%",N/A,2
2018-02-01,BCRI11,"106,50",1789.0,"R$ 0,6500","0,6075%","1,8453%","3,6858%","8,9434%","0,6151%","0,6143%","0,7453%","0,6075%","0,0000%","0,6075%","0,6075%","R$ 117.204.673,3600","R$ 96,8633","1,0995","0,6710%","-0,0234%","0,6475%","11,7690%",N/A,N/A,0
2018-02-01,BNFS11,"119,00",66.0,"R$ 0,8240","0,6866%","1,8942%","3,9712%","7,8579%","0,6314%","0,6619%","0,6548%","0,6866%","0,0000%","0,6866%","0,6866%","R$ 62.557.678,0600","R$ 89,3681","1,3316","0,8340%","-0,0122%","0,8217%","11,0269%",N/A,N/A,0
2018-02-01,BBFI11B,"2.950,00",132.0,"R$ 23,2057","0,7766%","2,3360%","4,9043%","10,2199%","0,7787%","0,8174%","0,8517%","0,7766%","0,0000%","0,7766%","0,7766%","R$ 349.432.010,3800","R$ 2.687,9385","1,0975","0,8447%","-18,8882%","-18,2031%","-15,9093%",N/A,N/A,2
2018-02-01,BBPO11,"141,25",16814.0,"R$ 0,9809","0,6835%","2,2125%","4,1850%","8,4402%","0,7375%","0,6975%","0,7034%","0,6835%","0,0000%","0,6835%","0,6835%","R$ 1.531.326.150,6800","R$ 96,1907","1,4684","1,3005%","-0,3222%","0,9740%","16,7396%",N/A,N/A,64
2018-02-01,BBRC11,"148,00",952.0,"R$ 0,8000","0,5384%","1,7978%","3,5271%","7,4232%","0,5993%","0,5879%","0,6186%","0,5384%","0,0000%","0,5384%","0,5384%","R$ 153.264.575,7500","R$ 96,3928","1,5354","1,0478%","-0,1695%","0,8765%","10,9895%",N/A,N/A,0
2018-02-01,RNDP11,"908,01",54.0,"R$ 5,8339","0,6411%","1,7929%","3,8744%","8,9248%","0,5976%","0,6457%","0,7437%","0,6411%","0,0000%","0,6411%","0,6411%","R$ 111.953.526,4300","R$ 1.041,6123","0,8717","0,4924%","0,0910%","0,5839%","9,6267%",N/A,N/A,0
2018-02-01,BCIA11,"112,33",183.0,"R$ 0,7000","0,6076%","1,7962%","3,4702%","7,4990%","0,5987%","0,5784%","0,6249%","0,6076%","0,0000%","0,6076%","0,6076%","R$ 201.209.054,7100","R$ 119,0859","0,9433","0,5878%","-0,7211%","-0,1375%","13,2981%",N/A,N/A,0
2018-02-01,CARE11,"1,99",50814.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 113.684.884,5100","R$ 1,3284","1,4980",,,,,N/A,N/A,0
2018-02-01,CXRI11,"1.110,00",34.0,"R$ 7,5000","0,6416%","2,1038%","4,2523%","8,6518%","0,7013%","0,7087%","0,7210%","0,6416%","0,0000%","0,6416%","0,6416%","R$ 171.733.913,0900","R$ 1.089,8482","1,0185","0,7524%","-2,7374%","-2,0056%","8,1875%",N/A,N/A,0
2018-02-01,CPTS11B,"98,70",2239.0,"R$ 0,7200","0,7302%","2,3171%","4,5253%","10,0636%","0,7724%","0,7542%","0,8386%","0,7302%","0,0000%","0,7302%","0,7302%","R$ 98.395.585,3300","R$ 98,3956","1,0031","0,7317%","-2,1178%","-1,4016%","8,7574%",N/A,N/A,0
