Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-05-01,AEFI11,Outros,"172,33",1176.0,"R$ 1,2200","0,6681%","2,0845%","4,2979%","9,4018%","0,6948%","0,7163%","0,7835%","2,8119%","2,5843%","3,2697%","13,8183%","R$ 111.139.081,0500","R$ 147,6931","1,1668","0,8260%","0,0447%","0,8711%","2,5870%","0,0000%",N/A,2
2018-05-01,BCRI11,Títulos e Val. Mob.,"103,61",2022.0,"R$ 0,6500","0,6238%","1,8101%","3,6554%","7,8253%","0,6034%","0,6092%","0,6521%","2,4176%","0,6180%","1,2457%","-0,2411%","R$ 119.794.020,8700","R$ 99,0032","1,0465","0,6666%","0,8321%","1,5042%","2,9877%",N/A,N/A,0
2018-05-01,BNFS11,Outros,"118,00",82.0,"R$ 0,7583","0,6319%","1,9615%","3,8557%","7,8352%","0,6538%","0,6426%","0,6529%","2,6481%","-2,4390%","-1,8225%","2,6746%","R$ 62.573.416,7000","R$ 89,3906","1,3200","0,9282%","0,0131%","0,9414%","2,7970%",N/A,N/A,18
2018-05-01,BBFI11B,Lajes Corporativas,"2.233,21",134.0,"R$ 22,9686","0,8800%","2,4250%","4,7610%","9,9201%","0,8083%","0,7935%","0,8267%","3,2016%","-11,9706%","-11,1960%","-9,8203%","R$ 349.923.455,5300","R$ 2.691,7189","0,8297","0,8621%","0,0609%","0,9236%","2,7160%",N/A,N/A,2
2018-05-01,BBPO11,Lajes Corporativas,"146,30",20278.0,"R$ 0,9809","0,6617%","1,9867%","4,1992%","8,2970%","0,6622%","0,6999%","0,6914%","2,6702%","-0,7697%","-0,1132%","6,0816%","R$ 1.525.225.970,1600","R$ 95,8075","1,5270","1,0238%","-1,1940%","-0,1824%","2,6893%",N/A,N/A,64
2018-05-01,BBRC11,Outros,"142,94",801.0,"R$ 0,8000","0,5479%","1,6287%","3,4265%","7,0824%","0,5429%","0,5711%","0,5902%","2,1671%","-0,0342%","0,5135%","0,4037%","R$ 153.304.751,5500","R$ 96,4181","1,4825","0,8297%","-1,0695%","-0,2487%","2,4014%",N/A,N/A,19
2018-05-01,RNDP11,Títulos e Val. Mob.,"937,00",61.0,"R$ 5,1751","0,5523%","1,6188%","3,4117%","7,9882%","0,5396%","0,5686%","0,6657%","2,2599%","0,6466%","1,2025%","5,3160%","R$ 112.023.015,0600","R$ 1.042,2588","0,8990","0,5109%","-0,3131%","0,1962%","1,3078%",N/A,N/A,0
2018-05-01,BCIA11,Títulos e Val. Mob.,"120,00",147.0,"R$ 0,7000","0,5833%","1,6752%","3,4713%","7,2159%","0,5584%","0,5786%","0,6013%","2,2828%","-1,7762%","-1,2032%","6,5650%","R$ 210.484.540,8500","R$ 124,5756","0,9633","0,5619%","3,2757%","3,8560%","5,5486%",N/A,N/A,0
2018-05-01,CARE11,Híbrido,"2,00",48995.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 117.447.847,9400","R$ 1,3726","1,4570",,,,,N/A,N/A,0
2018-05-01,CXRI11,Híbrido,"1.050,00",62.0,"R$ 7,0000","0,6623%","1,8857%","3,9895%","8,3575%","0,6286%","0,6649%","0,6965%","2,5273%","-8,8793%","-8,2759%","-7,2739%","R$ 173.972.561,4300","R$ 1.104,0549","0,9510","0,6340%","0,8741%","1,5136%","3,0305%",N/A,N/A,0
