Data,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2019-01-01,AEFI11,Outros,"161,59",1290.0,"R$ 1,2200","0,7673%","2,3351%","5,0172%","9,3657%","0,7784%","0,8362%","0,7805%","9,3657%","0,0692%","0,8371%","5,7924%","R$ 113.957.882,48","R$ 151,44","1,0670","0,8056%","3,6399%","4,4749%","12,3895%","0,00%",N/A,2
2019-01-01,BCRI11,Títulos e Val. Mob.,"109,94",3587.0,"R$ 0,9500","0,8636%","3,0609%","5,5004%","9,3443%","1,0203%","0,9167%","0,7787%","9,3443%","1,8613%","2,7410%","12,8303%","R$ 120.986.079,93","R$ 99,99","1,0995","1,2301%","-0,2099%","1,0177%","11,7549%",N/A,N/A,0
2019-01-01,BNFS11,Outros,"126,90",109.0,"R$ 0,7524","0,6060%","1,9702%","4,1966%","8,2310%","0,6567%","0,6994%","0,6859%","8,2310%","-0,5925%","0,0099%","12,3116%","R$ 62.642.615,22","R$ 89,49","1,4180","0,9479%","-0,0007%","0,9472%","10,7759%",N/A,N/A,18
2019-01-01,BBFI11B,Lajes Corporativas,"2.114,50",205.0,"R$ 24,8732","1,2016%","3,6355%","7,3836%","12,6545%","1,2118%","1,2306%","1,0545%","12,6545%","-2,5892%","-1,4187%","-21,4318%","R$ 351.154.760,28","R$ 2.701,19","0,7828","0,9208%","0,0528%","0,9741%","11,2960%",N/A,N/A,2
2019-01-01,BBPO11,Lajes Corporativas,"139,84",17735.0,"R$ 1,0249","0,7327%","2,2110%","4,5768%","8,7369%","0,7370%","0,7628%","0,7281%","8,7369%","0,4092%","1,1448%","6,3283%","R$ 1.641.884.449,28","R$ 103,14","1,3559","0,9937%","-0,1477%","0,8445%","20,7889%",N/A,N/A,64
2019-01-01,BBRC11,Outros,"139,11",1066.0,"R$ 1,0500","0,7505%","2,0249%","4,0216%","7,5027%","0,6750%","0,6703%","0,6252%","7,5027%","-0,2922%","0,4561%","1,4633%","R$ 161.759.883,35","R$ 101,74","1,3674","1,0321%","4,1355%","5,2102%","16,2651%",N/A,N/A,19
2019-01-01,RNDP11,Títulos e Val. Mob.,"960,00",37.0,"R$ 4,6900","0,4937%","1,5903%","3,2450%","6,6197%","0,5301%","0,5408%","0,5516%","6,6197%","1,0627%","1,5616%","11,5244%","R$ 115.042.597,63","R$ 1.070,35","0,8969","0,4382%","-0,1415%","0,2961%","8,6844%",N/A,N/A,0
2019-01-01,BCIA11,Títulos e Val. Mob.,"103,94",974.0,"R$ 0,7000","0,6688%","2,0075%","3,8670%","7,4114%","0,6692%","0,6445%","0,6176%","7,4114%","0,4704%","1,1424%","-2,1826%","R$ 201.544.075,16","R$ 119,28","0,8714","0,5868%","3,2692%","3,8752%","6,7936%",N/A,N/A,0
2019-01-01,CARE11,Híbrido,"1,70",45729.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",N/A,"0,0000%","0,0000%","0,0000%","R$ 196.547.678,59","R$ 1,46","1,1656",N/A,N/A,N/A,N/A,N/A,N/A,0
2019-01-01,CXRI11,Híbrido,"1.040,00",35.0,"R$ 10,0000","0,9756%","2,3864%","4,5717%","8,5176%","0,7955%","0,7620%","0,7098%","8,5176%","1,9900%","2,9851%","-4,5518%","R$ 163.878.008,51","R$ 1.039,99","1,0000","0,6731%","1,5282%","2,2116%","2,4906%",N/A,N/A,0
