Data,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2019-02-11,AEFI11,Outros,"159,90",1277.0,"R$ 1,2200","0,7531%","2,2882%","4,9590%","9,3914%","0,7627%","0,8265%","0,7826%","0,7531%","0,0000%","0,7531%","0,7531%","R$ 113.917.460,54","R$ 151,39","1,0562","0,8059%","-0,0355%","0,7701%","13,2550%","0,00%",N/A,2
2019-02-11,BCRI11,Títulos e Val. Mob.,"111,00",3930.0,"R$ 1,0000","0,8985%","2,9011%","5,6370%","9,6353%","0,9670%","0,9395%","0,8029%","0,8985%","0,0000%","0,8985%","0,8985%","R$ 121.996.758,36","R$ 100,82","1,1009","0,9422%","0,8354%","1,7855%","13,7502%",N/A,N/A,0
2019-02-11,BNFS11,Outros,"120,50",91.0,"R$ 0,7843","0,5897%","1,8749%","4,0475%","8,1341%","0,6250%","0,6746%","0,6778%","0,5897%","0,0000%","0,5897%","0,5897%","R$ 65.316.778,34","R$ 93,31","1,2914","0,8064%","4,2689%","5,1097%","16,4362%",N/A,N/A,18
2019-02-11,BBFI11B,Lajes Corporativas,"2.283,97",205.0,"R$ 25,7775","1,0790%","3,4258%","7,3233%","12,9569%","1,1419%","1,2206%","1,0797%","1,0790%","0,0000%","1,0790%","1,0790%","R$ 351.154.760,28","R$ 2.701,19","0,8455","0,9208%","0,0528%","0,9741%","11,2960%","38,59%",N/A,2
2019-02-11,BBPO11,Lajes Corporativas,"135,50",17950.0,"R$ 1,0249","0,7321%","2,2005%","4,5601%","8,7856%","0,7335%","0,7600%","0,7321%","0,7321%","0,0000%","0,7321%","0,7321%","R$ 1.641.884.449,28","R$ 103,14","1,3138","0,9937%","-0,1477%","0,8445%","20,7889%","0,00%",N/A,64
2019-02-11,BBRC11,Outros,"136,00",1313.0,"R$ 0,9200","0,6604%","2,0524%","4,0318%","7,6247%","0,6841%","0,6720%","0,6354%","0,6604%","0,0000%","0,6604%","0,6604%","R$ 161.759.883,35","R$ 101,74","1,3368","1,0321%","4,1355%","5,2102%","16,2651%",N/A,N/A,20
2019-02-11,RNDP11,Títulos e Val. Mob.,"952,00",33.0,"R$ 4,6900","0,4870%","1,5057%","3,1654%","6,4656%","0,5019%","0,5276%","0,5388%","0,4870%","0,0000%","0,4870%","0,4870%","R$ 115.042.597,63","R$ 1.070,35","0,8894","0,4382%","-0,1415%","0,2961%","8,6844%",N/A,N/A,0
2019-02-11,BCIA11,Títulos e Val. Mob.,"107,05",1918.0,"R$ 0,7000","0,6474%","1,9882%","3,8838%","7,4512%","0,6627%","0,6473%","0,6209%","0,6474%","0,0000%","0,6474%","0,6474%","R$ 201.544.075,16","R$ 119,28","0,8974","0,5868%","3,2692%","3,8752%","6,7936%",N/A,N/A,0
2019-02-11,CARE11,Híbrido,"1,67",58125.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",N/A,"0,0000%","0,0000%","0,0000%","R$ 194.555.748,82","R$ 1,44","1,1567",N/A,N/A,N/A,N/A,N/A,N/A,0
2019-02-11,CXRI11,Híbrido,"1.000,25",63.0,"R$ 7,0000","0,6617%","2,3338%","4,5327%","8,5377%","0,7779%","0,7555%","0,7115%","0,6617%","0,0000%","0,6617%","0,6617%","R$ 166.746.479,66","R$ 1.058,20","0,9452","0,9450%","1,7504%","2,7119%","5,2700%",N/A,N/A,0
2019-02-11,CPTS11B,Títulos e Val. Mob.,"102,00",3533.0,"R$ 0,6500","0,6325%","2,5428%","4,8995%","9,5379%","0,8476%","0,8166%","0,7948%","0,6325%","0,0000%","0,6325%","0,6325%","R$ 152.072.030,44","R$ 96,38","1,0583","1,1932%","-1,1908%","-0,0119%","7,8711%",N/A,N/A,0
