Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2021-05-19,FIVN11,Shoppings,"R$ 2,80",14729.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 64.832.865,32","R$ 6,89","0,41",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2021-05-19,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 439.665.897,40","R$ 11,45","1,28",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,XTED11,Lajes Corporativas,"R$ 6,91",1850.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 25.472.636,57","R$ 14,21","0,49",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
2021-05-19,ALMI11,Lajes Corporativas,"R$ 1.100,00",134.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 229.423.903,28","R$ 2.063,59","0,53",N/A,N/A,N/A,N/A,"68,15%",N/A,1
2021-05-19,DOMC11,Lajes Corporativas,"R$ 439,00",42.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,35%","4,35%","-10,00%","R$ 263.546.411,18","R$ 107,84","4,07",N/A,N/A,N/A,N/A,"23,44%",N/A,1
2021-05-19,PABY11,Híbrido,"R$ 12,59",13.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -5.574.880,44","R$ -7,35","-1,71",N/A,N/A,N/A,N/A,N/A,N/A,1
2021-05-19,ORPD11,Títulos e Val. Mob.,"R$ 132,83",1.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 42.692.384,97","R$ 147,22","0,90",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,RBCB11,Outros,"R$ 19,00",161.0,"R$ 0,00","0,00%","0,29%","4,38%","14,62%","0,10%","0,73%","1,22%","4,38%","-71,35%","-71,35%","-75,16%","R$ 0,00","R$ 0,00",Inf,N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,ATSA11,Shoppings,"R$ 108,13",201.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 172.769.599,11","R$ 98,66","1,10",N/A,N/A,N/A,N/A,"22,30%",N/A,1
2021-05-19,XPHT11,Hotel,"R$ 86,67",19.0,"R$ 0,34","0,40%","1,05%","2,23%","0,00%","0,35%","0,37%","0,00%","1,05%","-18,27%","-17,94%","-16,89%","R$ 331.031.113,19","R$ 87,01","1,00",N/A,N/A,N/A,N/A,"82,20%",N/A,5
