Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2022-06-01,FIVN11,Shoppings,"R$ 2,17",3424.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 65.678.487,99","R$ 6,98","0,31",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2022-06-01,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 431.076.817,02","R$ 10,70","1,37",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,XTED11,Lajes Corporativas,"R$ 6,00",251.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.305.951,24","R$ 13,89","0,43",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
2022-06-01,ALMI11,Lajes Corporativas,"R$ 901,00",159.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 249.632.973,43","R$ 2.245,37","0,40",N/A,N/A,N/A,N/A,"64,05%",N/A,1
2022-06-01,PABY11,Híbrido,"R$ 7,45",41.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -9.870.075,03","R$ -13,01","-0,57",N/A,N/A,N/A,N/A,N/A,N/A,1
2022-06-01,ORPD11,Títulos e Val. Mob.,"R$ 93,00",3.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 43.611.089,33","R$ 150,38","0,62",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,FISC11,Lajes Corporativas,"R$ 165,00",200.0,"R$ 0,22","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 194.682.613,92","R$ 114,52","1,44",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,NSLU11,Hospital,"R$ 141,25",387.0,"R$ 1,54","0,76%","2,26%","4,94%","9,49%","0,75%","0,82%","0,79%","0,76%","0,00%","0,76%","0,76%","R$ 238.028.433,66","R$ 207,92","0,68",N/A,N/A,N/A,N/A,"0,00%",N/A,1
2022-06-01,ATSA11,Shoppings,"R$ 88,70",7.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 156.611.749,64","R$ 89,43","0,99",N/A,N/A,N/A,N/A,"21,90%",N/A,1
2022-06-01,CXTL11,Logística,"R$ 311,00",177.0,"R$ 0,48","0,16%","0,67%","1,29%","0,00%","0,22%","0,22%","0,00%","0,42%","-6,12%","-5,97%","-5,73%","R$ 37.052.587,58","R$ 691,32","0,45",N/A,N/A,N/A,N/A,"61,00%",N/A,3
2022-06-01,CXCI11,,"R$ 76,70",1019.0,"R$ 0,75","0,96%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,75%","-11,10%","-10,25%","-9,54%","R$ 200.991.074,86","R$ 97,68","0,79","0,72%","-0,07%","0,65%","0,96%",N/A,N/A,0
2022-06-01,JSAF11,Títulos e Val. Mob.,"R$ 82,35",2356.0,"R$ 0,93","1,10%","3,30%","0,00%","0,00%","1,10%","0,00%","0,00%","5,48%","-1,05%","0,04%","8,06%","R$ 153.333.807,55","R$ 97,48","0,84","0,95%","-0,29%","0,66%","4,76%",N/A,N/A,0
2022-06-01,HSLG11,Logística,"R$ 85,10",6819.0,"R$ 0,65","0,75%","2,17%","4,18%","8,00%","0,72%","0,70%","0,67%","3,58%","-3,10%","-2,37%","-0,64%","R$ 1.401.752.936,38","R$ 110,72","0,77","0,59%","-0,08%","0,50%","2,58%","1,10%",N/A,5
2022-06-01,HSRE11,Híbrido,"R$ 100,00",5.0,"R$ 0,56","0,56%","1,68%","3,68%","7,08%","0,56%","0,61%","0,59%","2,80%","0,00%","0,56%","2,83%","R$ 827.352.123,56","R$ 97,13","1,03","0,58%","0,03%","0,61%","2,83%","0,00%",N/A,29
2022-06-01,HTMX11,Hotel,"R$ 85,02",1002.0,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","0,80%","-28,14%","-28,14%","-32,26%","R$ 161.857.438,79","R$ 128,76","0,66",N/A,N/A,N/A,N/A,"65,00%",N/A,23
2022-06-01,GSFI11,Shoppings,"R$ 4,36",25416.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 995.889.943,51","R$ 13,24","0,33",N/A,N/A,N/A,N/A,"10,30%",N/A,10
2022-06-01,NEWU11,Lajes Corporativas,"R$ 32,05",8.0,"R$ 0,00","0,00%","0,00%","0,56%","16,63%","0,00%","0,09%","1,39%","0,61%","-4,04%","-4,04%","-31,62%","R$ 48.127.462,03","R$ 64,86","0,49",N/A,N/A,N/A,N/A,"63,20%",N/A,3
2022-06-01,PRSV11,Lajes Corporativas,"R$ 101,86",1.0,"R$ 1,62","0,42%","1,53%","2,91%","5,95%","0,51%","0,48%","0,50%","4,46%","5,30%","5,74%","-11,25%","R$ 47.185.757,76","R$ 241,98","0,42",N/A,N/A,N/A,N/A,"40,90%",N/A,2
2022-06-01,FAMB11B,Lajes Corporativas,"R$ 801,02",73.0,"R$ 9,16","0,56%","2,17%","4,78%","10,43%","0,72%","0,80%","0,87%","8,82%","-47,80%","-47,51%","-47,80%","R$ 325.344.682,76","R$ 3.104,43","0,26",N/A,N/A,N/A,N/A,"100,00%",N/A,1
2022-06-01,FMOF11,Lajes Corporativas,"R$ 62,00",6.0,"R$ 0,64",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 62.419.181,77","R$ 122,87","0,50",N/A,N/A,N/A,N/A,"52,08%",N/A,1
2022-06-01,HGRS11,Residencial,N/A,N/A,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 106.768.714,01","R$ 89,39",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,KNRE11,Residencial,"R$ 0,90",2164.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 22.807.147,50","R$ 1,23","0,73",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,RBDS11,Residencial,"R$ 3,90",58.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 3.157.024,21","R$ 24,95","0,16",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,WTSP11B,Híbrido,"R$ 37,60",17.0,"R$ 0,32","0,76%","2,57%","4,67%","6,85%","0,86%","0,78%","0,57%","0,76%","0,00%","0,76%","0,76%","R$ 79.910.289,95","R$ 80,51","0,47",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,OULG11,Outros,"R$ 42,40",10849.0,"R$ 0,17","0,38%","1,14%","3,40%","8,03%","0,38%","0,57%","0,67%","1,50%","3,09%","3,48%","-3,91%","R$ 182.267.031,86","R$ 73,46","0,58",N/A,N/A,N/A,N/A,"0,00%",N/A,2
2022-06-01,VXXV11,Outros,"R$ 852,64",627.0,"R$ 10,76",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 136.389.337,47","R$ 771,53","1,11",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,BICE11,Títulos e Val. Mob.,"R$ 1.000,00",24.0,"R$ 5,40","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 13.065.381,45","R$ 965,73","1,04",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,HRDF11,Híbrido,"R$ 1,20",214.0,"R$ 6,80",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 9.859.180,08","R$ 1,30","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,CJCT11,Lajes Corporativas,"R$ 79,80",2.0,"R$ 0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 186.073.862,65","R$ 64,83","1,23",N/A,N/A,N/A,N/A,"59,00%",N/A,1
2022-06-01,LFTT11,Residencial,"R$ 98,55",20.0,"R$ 0,75",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 440.544.059,78","R$ 60,31","1,63",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,HCRI11,Hospital,"R$ 232,62",181.0,"R$ 2,49","0,88%","2,36%","4,77%","9,33%","0,79%","0,80%","0,78%","1,62%","-18,08%","-17,35%","-16,74%","R$ 51.810.193,32","R$ 259,05","0,90",N/A,N/A,N/A,N/A,"0,00%",N/A,1
2022-06-01,DRIT11B,Lajes Corporativas,"R$ 80,41",6.0,"R$ 0,33","0,28%","0,80%","0,00%","0,00%","0,27%","0,00%","0,00%","1,28%","5,78%","6,07%","-7,42%","R$ 58.097.475,43","R$ 125,41","0,64",N/A,N/A,N/A,N/A,"10,47%",N/A,6
2022-06-01,CTXT11,Lajes Corporativas,"R$ 14,79",309.0,"R$ 0,09","0,39%","0,78%","1,36%","5,53%","0,26%","0,23%","0,46%","1,36%","-2,58%","-2,20%","-39,31%","R$ 117.762.540,94","R$ 40,57","0,36",N/A,N/A,N/A,N/A,"97,00%",N/A,1
2022-06-01,GESE11B,Outros,"R$ 1.520,00",300.0,"R$ 12,60","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 86.540.717,02","R$ 1.664,24","0,91",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,SRVD11,Títulos e Val. Mob.,"R$ 8,39",6.0,"R$ 0,10","1,01%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,01%","0,00%","1,01%","1,01%","R$ 71.878.054,17","R$ 0,75","11,24",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,RBIR11,Residencial,"R$ 64,09",15.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 147.080.116,11","R$ 96,22","0,67",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,CARE11,Híbrido,"R$ 4,10",11406.0,"R$ 0,00","0,23%","0,66%","1,36%","1,60%","0,22%","0,23%","0,13%","1,36%","-2,63%","-2,41%","5,65%","R$ 293.685.366,89","R$ 8,21","0,50",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-06-01,CXAG11,Outros,"R$ 75,02",1736.0,"R$ 0,75","0,96%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,90%","0,65%","1,62%","6,33%","R$ 214.253.899,43","R$ 102,48","0,73","0,73%","0,02%","0,75%","2,16%",N/A,N/A,0
2022-06-01,RDPD11,Títulos e Val. Mob.,"R$ 52,95",17.0,"R$ 0,56","1,00%","3,59%","6,40%","11,36%","1,20%","1,07%","0,95%","5,59%","-1,93%","-0,95%","3,87%","R$ 63.680.942,27","R$ 59,07","0,90","0,95%","-1,31%","-0,38%","5,05%",N/A,N/A,0
2022-06-01,GTWR11,Lajes Corporativas,"R$ 71,95",4913.0,"R$ 0,74","1,02%","2,90%","5,52%","10,09%","0,97%","0,92%","0,84%","4,69%","-4,40%","-3,43%","-9,94%","R$ 1.174.713.672,72","R$ 97,89","0,73","0,76%","-0,71%","0,04%","3,16%","0,00%","0,00%",1
2022-06-01,RNDP11,Títulos e Val. Mob.,"R$ 320,00",8.0,"R$ 3,74","1,00%","3,30%","5,13%","8,79%","1,10%","0,85%","0,73%","4,50%","-1,32%","-0,33%","-34,62%","R$ 50.536.041,45","R$ 470,19","0,68","0,80%","-0,90%","-0,11%","-27,63%",N/A,N/A,0
2022-06-01,NVHO11,Hospital,"R$ 10,84",43.0,"R$ 0,08","0,67%","1,97%","3,50%","6,87%","0,66%","0,58%","0,57%","2,18%","1,67%","2,35%","4,34%","R$ 527.581.196,04","R$ 12,71","0,85",N/A,N/A,N/A,N/A,N/A,N/A,1
