Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,Vacância Física,Vacância Financeira,Quant. Ativos,Data Inclusão
AAZQ11,Indefinido,"9,30","656.786,07","1,01","0,12","1,28 %","3,59 %","7,94 %","10,82 %","1,20 %","1,32 %","1,55 %","10,82 %","0,00 %","1,28 %","6,79 %","230.646.828,88","9,60","0,97","1,46 %","0,00 %",2023-09-01
ABCP11,Shoppings,"68,30","61.257,11","0,74","0,50","0,70 %","2,10 %","4,32 %","8,81 %","0,70 %","0,72 %","0,73 %","5,84 %","-0,95 %","-0,25 %","2,01 %","432.552.807,00","91,82","0,74","0,65 %","-0,18 %",2023-09-01
AFHI11,Papéis,"97,25","1.211.879,04","1,01","1,05","1,07 %","3,30 %","6,75 %","13,08 %","1,10 %","1,13 %","1,09 %","7,87 %","-0,89 %","0,17 %","9,18 %","289.711.187,37","94,82","1,03","1,01 %","-0,94 %",2023-09-01
AGRX11,Outros,"10,84","226.776,22",N/A,"0,14","1,29 %","3,86 %","8,60 %","15,81 %","1,29 %","1,43 %","1,32 %","11,84 %","-2,79 %","-1,53 %","18,72 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
AIEC11,Lajes Corporativas,"67,20","781.104,67","0,71","0,76","1,11 %","3,27 %","7,01 %","13,33 %","1,09 %","1,17 %","1,11 %","8,48 %","-4,75 %","-3,69 %","6,79 %","456.945.283,72","102,56","0,66","0,73 %","0,24 %",2023-09-01
ALMI11,Lajes Corporativas,"773,95","43.138,12","0,38","0,37","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"225.793.787,83","2.046,78","0,38","0,00 %","-0,05 %",2023-09-01
ALZM11,Fundo de Fundos,"93,00","209.632,89","1,01","0,71","0,76 %","2,59 %","5,52 %","12,57 %","0,86 %","0,92 %","1,05 %","6,61 %","0,68 %","1,44 %","15,41 %","63.914.467,84","100,50","0,93","1,07 %","2,33 %",2023-09-01
ALZR11,Misto,"116,87","2.098.589,70","1,10","0,83","0,71 %","2,12 %","4,29 %","12,44 %","0,71 %","0,72 %","1,04 %","5,02 %","-1,15 %","-0,44 %","7,29 %","1.049.505.903,99","106,94","1,09","0,68 %","-0,03 %",2023-09-01
APTO11,Imóveis Residenciais,"9,88","50.281,07","0,94","0,10","1,01 %","3,16 %","6,72 %","13,43 %","1,05 %","1,12 %","1,12 %","9,10 %","-0,50 %","0,50 %","23,01 %","42.128.729,72","9,97","0,99","1,00 %","-0,78 %",2023-09-01
ARCT11,Imóveis Industriais e Logísticos,"87,13","1.053.903,45","0,87","0,50","0,00 %","1,30 %","3,82 %","12,55 %","0,43 %","0,64 %","1,05 %","0,00 %","0,00 %","0,00 %",N/A,"371.534.654,03","99,77","0,87","0,76 %","0,04 %",2023-09-01
AROA11,Imóveis Industriais e Logísticos,N/A,N/A,N/A,"0,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"172.335.466,72",N/A,N/A,N/A,N/A,2023-09-01
ARRI11,Papéis,"8,80","283.327,70","0,98","0,10","1,13 %","3,44 %","7,27 %","14,95 %","1,15 %","1,21 %","1,25 %","9,40 %","-4,31 %","-3,23 %","4,95 %","117.478.338,91","9,10","0,97","1,43 %","-2,15 %",2023-09-01
ARXD11,Papéis,"102,00","2.945,70","1,01","1,10","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"49.935.288,14",N/A,N/A,N/A,N/A,2023-09-01
ASMT11,Lajes Corporativas,"48,51","14.206,19","0,58","0,77","1,11 %","3,18 %","6,17 %","11,50 %","1,06 %","1,03 %","0,96 %","1,11 %","-5,50 %","-4,46 %","-4,46 %","85.699.208,49",N/A,N/A,N/A,N/A,2023-09-01
ASRF11,Indefinido,N/A,N/A,N/A,"256,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"23.993.347,80",N/A,N/A,N/A,N/A,2023-09-01
ATSA11,Shoppings,"57,50","2.403,18","0,70","0,05","0,00 %","0,13 %","0,19 %","0,99 %","0,04 %","0,03 %","0,08 %","0,07 %","0,00 %","0,00 %",N/A,"143.373.897,92","90,48","0,64","0,06 %","0,17 %",2023-09-01
AURB11,Imóveis Comerciais - Outros,N/A,N/A,N/A,"0,40","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"73.036.842,34",N/A,N/A,N/A,N/A,2023-09-01
BARI11,Papéis,"83,39","716.848,81","0,86","0,60","0,68 %","2,79 %","6,18 %","12,31 %","0,93 %","1,03 %","1,03 %","8,24 %","-1,76 %","-1,09 %","8,58 %","451.240.748,31","99,63","0,84","0,90 %","-0,70 %",2023-09-01
BBFI11B,Lajes Corporativas,"991,00","181.563,41","0,46","7,43","0,74 %","1,92 %","5,90 %","13,99 %","0,64 %","0,98 %","1,17 %","8,49 %","-10,93 %","-10,27 %","-45,10 %","279.197.329,42","2.854,80","0,35","0,93 %","0,12 %",2023-09-01
BBFO11,Fundo de Fundos,"74,21","290.567,63","0,90","0,62","0,83 %","2,70 %","5,87 %","11,71 %","0,90 %","0,98 %","0,98 %","8,14 %","-1,19 %","-0,37 %","21,53 %","331.238.334,63","82,36","0,90","0,73 %","-4,19 %",2023-09-01
BBGO11,Indefinido,"91,64","485.919,15","0,84","0,92","0,98 %","4,66 %","8,50 %","14,86 %","1,55 %","1,42 %","1,24 %","10,67 %","0,00 %","0,98 %","27,11 %","392.550.389,63","98,01","0,94","1,04 %","0,08 %",2023-09-01
BBIM11,Papéis,N/A,N/A,N/A,"12,21","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"32.454.158,63","30,36",N/A,"1,42 %","-2,38 %",2023-09-01
BBPO11,Agências de Bancos,"96,00","1.906.056,44","0,96","0,90","0,92 %","2,74 %","5,80 %","12,00 %","0,91 %","0,97 %","1,00 %","7,92 %","-0,97 %","-0,06 %","23,65 %","1.589.187.534,13","100,37","0,96","0,92 %","0,06 %",2023-09-01
BBRC11,Agências de Bancos,"116,76","122.974,59","1,08","1,13","0,96 %","3,01 %","6,26 %","12,31 %","1,00 %","1,04 %","1,03 %","8,35 %","7,37 %","8,40 %","28,22 %","171.757.745,92","106,62","1,10","0,93 %","-0,09 %",2023-09-01
BCFF11,Fundo de Fundos,"75,13","3.187.901,81","0,97","0,56","0,74 %","2,32 %","4,92 %","9,81 %","0,77 %","0,82 %","0,82 %","5,81 %","5,19 %","5,97 %","22,25 %","1.950.882.562,14","75,57","0,99","0,74 %","-3,03 %",2023-09-01
BCIA11,Fundo de Fundos,"102,15","808.821,81","0,93","0,83","0,80 %","2,38 %","5,17 %","10,43 %","0,79 %","0,86 %","0,87 %","7,03 %","-2,36 %","-1,58 %","30,61 %","409.523.791,73","101,16","1,01","0,75 %","-5,66 %",2023-09-01
BCRI11,Papéis,"71,40","641.179,48","0,72","0,80","1,13 %","2,95 %","6,08 %","12,06 %","0,98 %","1,01 %","1,01 %","7,93 %","-7,09 %","-6,04 %","-19,50 %","619.928.797,11","100,74","0,71","0,99 %","-0,93 %",2023-09-01
BDIF11,Fundo de Desenvolvimento,"97,79","1.512.607,59",N/A,"1,25","1,33 %","4,00 %","7,75 %","15,99 %","1,33 %","1,29 %","1,33 %","8,93 %","0,26 %","1,59 %","16,32 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
BICE11,Fundo de Fundos,"980,00","27.531,00","0,99","7,88","0,00 %","1,79 %","1,79 %","3,09 %","0,60 %","0,30 %","0,26 %","3,09 %","0,00 %","0,00 %",N/A,"89.018.475,76","1.017,80","0,96","1,57 %","5,06 %",2023-09-01
BICR11,Papéis,"87,12","1.211,95","0,86","0,52","0,57 %","1,41 %","2,43 %","6,75 %","0,47 %","0,41 %","0,56 %","3,97 %","0,00 %","0,00 %",N/A,"50.897.643,19","99,22","0,88","1,11 %","-1,64 %",2023-09-01
BIDB11,Fundo de Desenvolvimento,"88,22","158.760,26",N/A,"0,72","0,80 %","2,17 %","5,68 %","11,57 %","0,72 %","0,95 %","0,96 %","8,01 %","2,30 %","3,12 %","11,16 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
BIME11,Indefinido,"7,41","57.155,30","0,84","0,08","1,06 %","3,09 %","6,91 %","12,00 %","1,03 %","1,15 %","1,00 %","9,02 %","-3,93 %","-2,92 %","7,68 %","51.644.433,24","9,01","0,82","0,67 %","-0,71 %",2023-09-01
BIPD11,Indefinido,N/A,N/A,N/A,"10,38","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"48.311.723,30",N/A,N/A,N/A,N/A,2023-09-01
BLCA11,Indefinido,"128,00","1.072,69","0,94","0,57","0,00 %","0,41 %","0,41 %","2,28 %","0,14 %","0,07 %","0,19 %","1,04 %","0,00 %","0,00 %",N/A,"217.802.295,64","89,26","1,43","0,63 %","-0,32 %",2023-09-01
BLCP11,Imóveis Industriais e Logísticos,"91,00","103.127,50","0,81","0,56","0,63 %","1,24 %","2,39 %","4,92 %","0,41 %","0,40 %","0,41 %","3,64 %","0,00 %","0,00 %",N/A,"256.580.339,90","111,74","0,81","0,50 %","-0,02 %",2023-09-01
