,Título,media_taxa_homicidios,avaliacao_media_ativos_fundo,Quantidade_Imoveis,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,dt_inclusao
0,AAGR11,0.0,0.0,0,Indefinido,"97,86","3.409,33",,"1,17","1,19 %","3,46 %","6,85 %","6,85 %","1,15 %","1,37 %","1,37 %","6,85 %","1,27 %","2,48 %","12,91 %",,,,,,,,0,"71,20",0,2024-09-01
1,AAZQ11,0.0,0.0,0,Indefinido,"7,94","393.550,55","0,92","0,10","1,19 %","3,92 %","7,77 %","15,78 %","1,31 %","1,30 %","1,32 %","11,78 %","2,31 %","3,53 %","0,77 %","208.872.390,55","8,69","0,91","1,27 %","0,00 %","0,00 %","0,00 %",0,"17,35",29.430,2024-09-01
2,ABCP11,36.1,4.35,2,Shoppings,"72,28","33.658,97","0,70","0,62","0,85 %","2,30 %","4,31 %","9,68 %","0,77 %","0,72 %","0,81 %","7,00 %","10,58 %","11,52 %","15,02 %","479.965.760,58","101,92","0,71","0,34 %","11,00 %","11,38 %","19,31 %",1,"15,64",15.924,2024-09-01
3,AFHI11,0.0,0.0,0,Papéis,"97,26","600.223,74","1,01","0,95","0,99 %","3,00 %","5,98 %","12,35 %","1,00 %","1,00 %","1,03 %","8,00 %","0,41 %","1,40 %","10,15 %","438.758.075,78","96,31","1,01","0,99 %","1,41 %","2,41 %","8,83 %",0,"6,34",40.791,2024-09-01
4,AGRX11,0.0,0.0,0,Outros,"10,10","392.675,02",,"0,13","1,34 %","4,09 %","7,76 %","16,21 %","1,36 %","1,29 %","1,35 %","10,54 %","1,89 %","3,26 %","1,98 %",,,,,,,,0,"15,77",0,2024-09-01
5,AIEC11,75.85,2.5,2,Lajes Corporativas,"54,30","437.881,63","0,64","0,73","1,33 %","4,08 %","8,26 %","16,50 %","1,36 %","1,38 %","1,38 %","12,48 %","2,50 %","3,87 %","15,48 %","407.756.730,47","84,51","0,64","0,86 %","-9,62 %","-8,84 %","-7,79 %",2,"14,38",17.908,2024-09-01
6,AJFI11,33.050000000000004,4.5,6,Shoppings,"8,21","189.550,85","0,67","0,07","0,81 %","2,24 %","4,59 %","6,92 %","0,75 %","0,77 %","0,87 %","6,18 %","3,58 %","4,42 %","-6,19 %","387.608.531,51",,,,,,,0,"14,40",13.696,2024-09-01
7,ALMI11,36.1,3.7,1,Lajes Corporativas,"599,29","30.180,81","0,29","6,27","0,98 %","0,98 %","0,98 %","0,98 %","0,98 %","0,98 %","0,98 %","0,98 %","0,00 %","0,00 %",,"240.866.532,11","2.046,78","0,29","0,00 %","-0,05 %","-0,05 %","0,90 %",1,"31,22",2.130,2024-09-01
8,ALZC11,0.0,0.0,0,Papéis,"96,00","9.233,05",,"1,18","0,00 %","2,40 %","4,88 %","4,88 %","0,80 %","1,22 %","1,22 %","4,88 %","0,00 %","0,00 %",,,,,,,,,0,"16,05",0,2024-09-01
9,ALZM11,0.0,0.0,0,Fundo de Fundos,"7,71","95.531,29","0,94","0,09","1,10 %","3,26 %","6,35 %","12,61 %","1,09 %","1,06 %","1,05 %","8,69 %","-0,13 %","0,97 %","1,57 %","125.240.550,88","8,25","0,93","1,03 %","-91,09 %","-90,99 %","-90,62 %",0,"13,71",11.037,2024-09-01
