Título,Ativos
AAGR11,[]
AAZQ11,[]
ABCP11,"['SHOPPING GRAND PLAZA', 'PRÉDIO COMERCIAL']"
AFHI11,[]
AGRX11,[]
AIEC11,"['STANDARD BUILDING', 'ROCHAVERÁ DIAMOND TOWER']"
AJFI11,"['CONTINENTE SHOPPING', 'BALNEÁRIO SHOPPING', 'NAÇÕES SHOPPING', 'GARTEN SHOPPING', 'NORTE SHOPPING', 'NEUMARKT SHOPPING']"
ALMI11,['EDIFÍCIO TORRE ALMIRANTE']
ALZC11,[]
ALZM11,[]
ALZR11,"['AIR LIQUIDE', 'BRF GUARULHOS', 'APTIV', 'IPG', 'ATENTO', 'SANTILLANA', 'BRF BAURU', 'DASA ASCENDINO REIS', 'DASA SUMARÉ', 'DECATHLON MORUMBI', 'GLOBO', 'PANDURATA', 'COCA-COLA SANTO ANDRÉ', 'SKY', 'DUPONT', 'PUERI DOMUS', 'LOJA OBA SÃO BERNARDO DO CAMPO', 'LOJA OBA SÃO JOSÉ DO RIO PRETO', 'CD OBA SUMARÉ', 'CD MERCADO LIVRE']"
APTO11,"['IMÓVEL IT HOME', 'EDIÇÃO JARDINS', 'IMÓVEL CLARION']"
APXM11,[]
ARCT11,"['POLI-GYN', 'IMÓVEL MIRASSOL', 'IMÓVEL ANDORINHA', 'GALPÃO VOAR', 'IMÓVEL ANDORINHA', 'IMÓVEL CORUMBATAÍ', 'COMFRIO', 'CERVEJARIA CIDADE IMPERIAL', 'SPLICE INDÚSTRIA', 'ATACADÃO DIA A DIA']"
AROA11,[]
ARRI11,[]
ARXD11,[]
ASMT11,"['EDIFÍCIO SOUZA ARANHA II', 'IMÓVEL PORTO ALEGRE', 'EDIFÍCIO SOUZA ARANHA I']"
ASRF11,[]
ATSA11,['ATRIUM SHOPPING SANTO ANDRÉ']
AURB11,"['URBANHUB MAUÁ', 'URBANHUB GUARULHOS']"
AZPL11,[]
BARI11,[]
BBFI11B,"['AGÊNCIA BANCO DO BRASIL', 'CENTRO ADMINISTRATIVO DO ANDARAÍ']"
BBFO11,[]
BBGO11,[]
BBIG11,[]
BBIM11,[]
