,Título,Ativos,CEPs,Ratings,estado_localidade
0,AAGR11,[],[],[],[]
1,AAZQ11,[],[],[],[]
2,ABCP11,"['SHOPPING GRAND PLAZA', 'PRÉDIO COMERCIAL']","['09080510', '01310200']","[4.5, 4.2]","[{'estado': 'SP', 'localidade': 'Campestre'}, {'estado': 'SP', 'localidade': 'Bela Vista'}]"
3,AFHI11,[],[],[],[]
4,AGRX11,[],[],[],[]
5,AIEC11,"['STANDARD BUILDING', 'ROCHAVERÁ DIAMOND TOWER']","['20030020', '04730090']","[None, 5]","[{'estado': 'RJ', 'localidade': 'Centro'}, {'estado': 'SP', 'localidade': 'Várzea de Baixo'}]"
6,AJFI11,"['CONTINENTE SHOPPING', 'BALNEÁRIO SHOPPING', 'NAÇÕES SHOPPING', 'GARTEN SHOPPING', 'NORTE SHOPPING', 'NEUMARKT SHOPPING']","['88104800', '11060003', '04578910', '89223005', '02049000', '89010911']","[4.6, 4.5, 4.3, 4.6, 4.5, 4.5]","[{'estado': 'SC', 'localidade': 'Distrito Industrial'}, {'estado': 'SP', 'localidade': 'Gonzaga'}, {'estado': 'SP', 'localidade': 'Brooklin Paulista'}, {'estado': 'SC', 'localidade': 'Bom Retiro'}, {'estado': 'SP', 'localidade': 'Vila Guilherme'}, {'estado': 'SC', 'localidade': 'Centro'}]"
7,ALMI11,['EDIFÍCIO TORRE ALMIRANTE'],['01330010'],[3.7],"[{'estado': 'SP', 'localidade': 'Bela Vista'}]"
8,ALZC11,[],[],[],[]
9,ALZM11,[],[],[],[]
10,ALZR11,"['AIR LIQUIDE', 'BRF GUARULHOS', 'APTIV', 'IPG', 'ATENTO', 'SANTILLANA', 'BRF BAURU', 'DASA ASCENDINO REIS', 'DASA SUMARÉ', 'DECATHLON MORUMBI', 'GLOBO', 'PANDURATA', 'COCA-COLA SANTO ANDRÉ', 'SKY', 'DUPONT', 'PUERI DOMUS', 'LOJA OBA SÃO BERNARDO DO CAMPO', 'LOJA OBA SÃO JOSÉ DO RIO PRETO', 'CD OBA SUMARÉ', 'CD MERCADO LIVRE']","['04703901', '07222015', '12270000', '04517020', '01009000', '03303000', '17032820', '04074010', '01252120', '05686001', '04583115', '02236040', '09220570', '06463040', '06460025', '01534020', '09770000', '15093215', '13183091', '03109000']","[3.8, 5, 4.4, 5, 4.2, 4.6, 4.7, None, 2.7, 4.5, 4.3, 3.7, 4.5, 1.6, 4.5, 4, 4.5, 4.6, 4.3, 4.1]","[{'estado': 'SP', 'localidade': 'Santo Amaro'}, {'estado': 'SP', 'localidade': 'Cidade Industrial Satélite de São Paulo'}, {'estado': 'SP', 'localidade': ''}, {'estado': 'SP', 'localidade': 'Indianópolis'}, {'estado': 'SP', 'localidade': 'Centro'}, {'estado': 'SP', 'localidade': 'Quarta Parada'}, {'estado': 'SP', 'localidade': 'Jardim das Orquídeas'}, {'estado': 'SP', 'localidade': 'Indianópolis'}, {'estado': 'SP', 'localidade': 'Sumaré'}, {'estado': 'SP', 'localidade': 'Real Parque'}, {'estado': 'SP', 'localidade': 'Vila Cordeiro'}, {'estado': 'SP', 'localidade': 'Parque Edu Chaves'}, {'estado': 'SP', 'localidade': 'Vila Metalúrgica'}, {'estado': 'SP', 'localidade': 'Jardim Mutinga'}, {'estado': 'SP', 'localidade': 'Tamboré'}, {'estado': 'SP', 'localidade': 'Aclimação'}, {'estado': 'SP', 'localidade': 'Centro'}, {'estado': 'SP', 'localidade': 'Jardim Moysés Miguel Haddad'}, {'estado': 'SP', 'localidade': 'Vila Real'}, {'estado': 'SP', 'localidade': 'Parque da Mooca'}]"
11,APTO11,"['IMÓVEL IT HOME', 'EDIÇÃO JARDINS', 'IMÓVEL CLARION']","['03015010', '01403020', '04536001']","[4.6, 4.8, 4.5]","[{'estado': 'SP', 'localidade': 'Brás'}, {'estado': 'SP', 'localidade': 'Jardim Paulista'}, {'estado': 'SP', 'localidade': 'Jardim Europa'}]"
12,APXM11,[],[],[],[]
13,ARCT11,"['POLI-GYN', 'IMÓVEL MIRASSOL', 'IMÓVEL ANDORINHA', 'GALPÃO VOAR', 'IMÓVEL ANDORINHA', 'IMÓVEL CORUMBATAÍ', 'COMFRIO', 'CERVEJARIA CIDADE IMPERIAL', 'SPLICE INDÚSTRIA', 'ATACADÃO DIA A DIA']","['74470260', '15130000', '02611001', '05319010', '02611001', '13540000', 'SP', '25665132', '01504010', '04209000']","[4.5, 4.6, 4.6, 4.5, 4.6, 4.8, 4.2, 4.7, None, 4.2]","[{'estado': 'GO', 'localidade': 'Chácaras de Recreio São Joaquim'}, {'estado': 'SP', 'localidade': ''}, {'estado': 'SP', 'localidade': 'Vila Nova Cachoeirinha'}, {'estado': 'SP', 'localidade': 'Vila Hamburguesa'}, {'estado': 'SP', 'localidade': 'Vila Nova Cachoeirinha'}, {'estado': 'SP', 'localidade': ''}, {'estado': None, 'localidade': None}, {'estado': 'RJ', 'localidade': 'Bingen'}, {'estado': 'SP', 'localidade': 'Liberdade'}, {'estado': 'SP', 'localidade': 'Ipiranga'}]"
14,AROA11,[],[],[],[]
